SN,LIFNR,NAME1,STRAS
0,EXTERN_GE,External vendor Germany,
1,IIL-CR-03,CN Truck Carrier,
2,IIL-CR-04,CN Forwarding Agent,
3,OTA,OTA,
4,RACLETTE,Raclette AG,
5,SA211,Supplier 211 APJ,
6,SA212,Supplier 212 APJ,
7,SA30,APJ Vendor 1,
8,SA33,APJ Vendor 3,
9,SA34,APJ Vendor 4,
10,SE01,Supplier SE01,
11,SE02,Supplier SE02,
12,SE03,Supplier SE03,
13,SE212,Supplier 212 EMEA,
14,SL33,LA Vendor 3,
15,SL34,LA Vendor 4,
16,SUPPL04,Supplier 04,
17,SUPPL05,Supplier 05,
18,SUPPL06,Supplier 06,
19,T-1031,Chips und Fritz AG,
20,T-K500E00,Elektroblitz GmbH Gr.00,
21,TPL100,3PL100,
22,TP_EU_A_01,TSP Air Transportation Europe 01,
23,TP_EU_L_01,TSP Land Transportation Europe 01,
24,TP_EU_L_02,TSP Land Transportation Europe 02,
25,TP_EU_L_03,TSP Land Transportation Europe 03,
26,Z99001,Gym Supplies,
27,HOTELS,HOTELS,
28,FIO-VEND01,Electronics Retail & Co.,
29,FIO-VEND03,Sunny Electronics GmbH,
30,FIO-VEND04,Electronics Store,
31,FIO-VEND02,Electronics & Co.,
32,DUPONT,DUPONT,
33,VEND_QM_03,VEND_QM_03,
34,DE2502,Rubicon Steel & Components,
35,PLANT_0002,Plant 2 Vendor Name,
36,CM_CABLE2A,CM Cable (BaseValue+Metal),
37,604,Intercompany Resources to Belgium,
38,605,Intercompany Resources Canada,
39,1950,CPD L-Z,
40,1960,CPD A-K,
41,100070,Johann Smith,
42,100303,EPSC,
43,100403,Creative Signs,
44,100413,Lenovo Parts,
45,200055,Template for employee,
46,200060,June Brown,
47,ADAMS,Adams Inc.,
48,B2BVENDOR1,B2B Vendor 1,
49,CH1222,ABC Supply Company CN,
50,CM_VCL01E,CM Coal Seller 01 (Europe),
51,CM_VCOFIXE,CM Conc Vendor FIX,
52,CM_VMTGTME,CM Metal Vendor GTM EUR,
53,CN3000,C.E.B. CN,
54,D100000,Chemical China - OR,
55,D300000,Synchem FI,
56,DE3000,C.E.B. DE,
57,DUMMY HUM,Vendor Number for Inbound Delivery,
58,E260003,Mr. Boonchu Chumwit,
59,DEC-002,Ausland Lieferant CPD,
60,DEC-001,Inland Lieferant CPD,
61,EE-FR,EE-FR,
62,EE-FR_2012,EE-FR,
63,VEND_QM_01,VEND_QM_01,
64,YCFP_S_CAB,Cable Enterprises,
65,YCFP_S_ETI,Electronic Technologies Inc.,
66,YCFP_S_HIG,High Electronics,
67,YCFP_S_INO,Inno Electronics,
68,YCFP_S_UNI,United Electronics,
69,CAR_M2,Mining Ocean Carrier 2,
70,80082,Vendor_Altpayee,
71,EDF,EDF PARIS,
72,900010,Cumana C.A,
73,100613,Bean,
74,100623,La Carabobe̱a,
75,TESLA01,TESLA LTD,
76,MAHINDRA,MAHINDRA,
77,T-K520A07,Galactic Holdings,
78,T-K520B07,Entergel Holdings,
79,T-K520C07,ExtraC Group,
80,T-K520D07,MultiC Group,
81,T-K520E07,MultiE Group,
82,T-K510A07,NewAge Group,
83,ABBA,,
84,T-K50TT01,Vendor 01 TT01,
85,200097,FOUR99,
86,100653,TEST TT  0405,
87,100654,Vendor 05 TT01,
88,100655,Intom GS TT002,
89,100656,Intom AP TT003,
90,200155,Intom VN TT001,
91,100658,OTV,
92,100670,PL test import company TT01,
93,TT1 VENDOR,TEST TT  1205,
94,200186,TEST TT  SCH agr 1705 01,
95,200201,TEST TT AUTO PO,
96,100659,TEST TT  0605 invb,
97,200223,Test,
98,200325,Vendor,
99,KF-VN-01,KF: Vendor 01,
100,KF-VN-02,KF: Vendor 02,
101,M001,Ultralight,Rosenstr. 25
102,SA01,BR01 Vendor 1 APJ,
103,SA02,BR01 Vendor 2 APJ,
104,SA03,BR01 Vendor 3 APJ,
105,SA31,APJ Vendor 1,
106,SA32,APJ Vendor 2,
107,SE211,Supplier 211 EMEA,
108,SE31,EMEA Vendor 1,
109,SE32,EMEA Vendor 2,
110,SE33,EMEA Vendor 3,
111,SE34,EMEA Vendor 4,
112,SL01,BR01 Vendor 1 LA,
113,SL02,BR01 Vendor 2 LA,
114,SL03,BR01 Vendor 3 LA,
115,SL211,Supplier 211,
116,SL212,Supplier 212,
117,SL30,LA Vendor 1,
118,SL31,LA Vendor 1,
119,SL32,LA Vendor 2,
120,T-Q415-13,Ultralight,Rosenstrasse 11
121,T-Q415-14,Ultralight,Rosenstrasse 11
122,T-Q415-15,Ultralight,Rosenstrasse 11
123,T-Q415-16,Ultralight,Rosenstrasse 11
124,T-Q415-17,Ultralight,Rosenstrasse 11
125,T-Q415-18,Ultralight,Rosenstrasse 11
126,T-Q415-19,Ultralight,Rosenstrasse 11
127,T-Q415-20,Ultralight,Rosenstrasse 11
128,T-Q415-21,Ultralight,Rosenstrasse 11
129,T-Q415-22,Ultralight,Rosenstrasse 11
130,T-Q415-23,Ultralight,Rosenstrasse 11
131,T-Q415-24,Ultralight,Rosenstrasse 11
132,T-Q415-25,Ultralight,Rosenstrasse 11
133,T-Q415-26,Ultralight,Rosenstrasse 11
134,T-Q415-27,Ultralight,Rosenstrasse 11
135,T-Q415-28,Ultralight,Rosenstrasse 11
136,T-Q415-29,Ultralight,Rosenstrasse 11
137,TEATIME,Teatime plc,
138,TP_AIR_HH,Airport HH,
139,TP_AIR_LON,Airport London,
140,TP_PORT_HH,Port Hamburg,
141,1994,IDES Canada,
142,CM_VMT10E,CM Metal Vendor 10 EUR,
143,CM_CABLE2B,CM Cable (BaseValue+Metal),
144,7775,Lufthansa Airplus GmbH,
145,7776,American Express,
146,9001,Michaela Meier,
147,9002,Frank Schmidtrohr,
148,9003,Chris Miller,
